名前,読み
月ノ美兎,月ノ美兎 美兎 つきのみと みと tsukino mito 委員長 いいんちょう
勇気ちひろ,勇気ちひろ ゆうきちひろ ちひろ chihiro yuki yuuki ちー tihiro
える,える elu eru えるえる どこどこやったぜ ドコドコヤッタゼ エルフ スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむえる
樋口楓,樋口楓 楓 ひぐちかえで かえで higuchi higuti でろーん
静凛,静凛 凛 しずかりん りん shizuka rin しずりん sizuka
渋谷ハジメ,渋谷ハジメ ハジメ しぶやはじめ はじめ hajime hazime shibuya sibuya はじき めにき ハジキ メニキ
鈴谷アキ,鈴谷アキ すずや あき アキ suzuya aki
モイラ,モイラ もいら moira 女神 めがみ
,
宇志海いちご,
家長むぎ,
夕陽リリ,
物述有栖,
文野環,
伏見ガク,
ギルザレンⅢ世,
剣持刀也,
森中花咲,
,
叶,叶 kanae かなえ かなかな カナエ
赤羽葉子,
笹木咲,
本間ひまわり,
魔界ノりりむ,魔界ノりりむ りりむ まかいの makaino ririmu いいむ リリム・キスミー・ラブリーハート＝ロリータニア りりむきすみーらぶりーはーとろりーたにあ
葛葉,葛葉 くずは kuzuha ずは KZH
椎名唯華,
,
ドーラ,
轟京子,
シスター・クレア,
花畑チャイカ,
社築,
卯月コウ,
鈴木勝,
緑仙,
,
春崎エアル,
神田笑一,
飛鳥ひな,
雨森小夜,
鷹宮リオン,
舞元啓介,
,
竜胆尊,竜胆尊 尊 りんどう みこと rindou mikoto わらわ
でびでび・でびる,でびでび・でびる でびでびでびる debidebi debiru おそろしいあくま でび様 でびちゃん
桜凛月,
町田ちま,
ジョー・力一,
,
ベルモンド・バンデラス,
矢車りね,
夢追翔,
黒井しば,黒井しば くろい しば しばちゃん kuroi shiba siba 犬
,
夢月ロア,
語部紡,
戌亥とこ,
アンジュ・カトリーナ,
リゼ・ヘルエスタ,
三枝明那,三枝明那 明那 さえぐさ あきな saegusa akina アッキーナ あっきーな
愛園愛美,
雪城眞尋,
エクス・アルビオ,エクス・アルビオ エクスアルビオ えくすあるびお あるびお ex albio えびお エビオ abo ABO
レヴィ・エリファ,レヴィ・エリファ レヴィエリファ エリファ れゔぃ えりふぁ levi elipha れび 亜人
葉山舞鈴,
ニュイ・ソシエール,
葉加瀬冬雪,
加賀美ハヤト,
夜見れな,
アルス・アルマル,
天宮こころ,
エリー・コニファー,
ラトナ・プティ,
,
ハナ・マキア,
,
早瀬走,
健屋花那,
シェリン・バーガンディ,シェリン・バーガンディ バーガンディ しぇりん ばーがんでぃ shellin burgundy 探偵 名探偵
フミ,
星川サラ,
山神カルタ,
えま★おうがすと,
ルイス・キャミー,
魔使マオ,
不破湊,
白雪巴,
,
ライ・ガリレイ,
,
ましろ爻,
来栖夏芽,
,
ミン・スゥーハ,
ガオン,
,
フレン・E・ルスタリオ,
イブラヒム,
,
ライラ・アルストロエメリア,
,
長尾景,長尾景 ながお けい ケイナガオ kei nagao 景
弦月藤士郎,弦月藤士郎 藤士郎 げんづき とうじろう genzuki tojiro genduki toziro touzirou おげん
甲斐田晴,甲斐田晴 晴 かいだ はる kaida haru
,
ソ・ナギ,
,
空星きらめ,空星きらめ きらめ そらほし sorahoshi sorahosi kirame きらーめ
周央サンゴ,周央サンゴ サンゴ すおう さんご 周防 suo sango ンゴ んご ngo
東堂コハク,東堂コハク コハク とうどう こはく todo toudou kohaku コハック こはっく
北小路ヒスイ,北小路ヒスイ ヒスイ きたこうじ ひすい kitakoji kitakozi kitakouji kitakouzi ひすぴ ヒスピ
西園チグサ,西園チグサ チグサ にしぞの ちぐさ nishizono nisizono chigusa tigusa おちぐ ちぐちゃん
,
明楽レイ,
イ・ロハ,
エトナ・クリムソン,
オ・ジユ,
ヤン・ナリ,
リュ・ハリ,
ナギサ・アルシニア,
デレム・カド,
セフィナ,
,
ローレン・イロアス,
レオス・ヴィンセント,
オリバー・エバンス,
レイン・パターソン,
,
ハ・ユン,
ナ・セラ,
,
海妹四葉,
天ヶ瀬むゆ,
先斗寧,
壱百満天原サロメ,
風楽奏斗,
渡会雲雀,
四季凪アキラ,
セラフ・ダズルガーデン,
,
小清水透,
獅子堂あかり,
鏑木ろこ,
五十嵐梨花,
石神のぞみ,
ソフィア・ヴァレンタイン,
倉持めると,
,
佐伯イッテツ,
赤城ウェン,
宇佐美リト,
緋八マナ,
星導ショウ,星導ショウ ほしるべ しょう hoshirube sho hosirube syo ショウ るべ しるべすた sylvestar タコ たこ 蛸 星導晶
叢雲カゲツ,
小柳ロウ,
伊波ライ,伊波ライ ライ いなみ らい inami rai いなみそ みそ メカニック
立伝都々,
栞葉るり,
ミラン・ケストレル,
,
北見遊征,
魁星,
榊ネス,
司賀りこ,
珠乃井ナナ,
綺沙良,
梢桃音,
ルンルン,ルンルン るんるん lunlun runrun ちょま  るんちょま けもーの ケモーノ
七瀬すず菜,
早乙女ベリー,
雲母たまこ,
酒寄颯馬,
渚トラウト,
,
一橋綾人,
五木左京,
十河ののは,
夜牛詩乃,
蝸堂みかる,
猫屋敷美紅,
皇れお,
篠宮ゆの,
城瀬いすみ,
花籠つばさ,
,
エリーラ・ペンドラ,
フィナーナ・竜宮,
ペトラ・グリン,
エナー・アールウェット,
ミリー・パフェ,
ヴォックス・アクマ,
ルカ・カネシロ,
闇ノシュウ,
アルバーン・ノックス,
サニー・ブリスコー,
浮奇・ヴィオレタ,
マリア・マリオネット,
アイア・アマレ,
レン・ゾット,
スカーレ・ヨナグニ,
ドッピオ・ドロップサイト,
狂蘭メロコ,
ヴェール・ヴァーミリオン,
ユウ・Q・ウィルソン,
ベンタクロウ・ブリンガー,
ヴェザリウス・バンテージ,
クロード・クローマーク,
凉舞・バレンウォート,
クララ・チャームウッド,
ジール・ギンジョウカ,
フリオドール,
セイブル,
ケイリクス・デネボア,